,Date,Year,Time,Crash_location,Organisation,Flight_num,Route,Ac_type,Ground_fatalities_num,Summary,Month,Crash_location_country,Crash_location_ISO,Crash_location_city,Crash_location_city_longitude,Crash_location_city_latitude,Total onboard,Passengers onboard,Crew onboard,Onboard deaths,Passengers dead,Crew dead,all deaths,Total survivors,Passengers survivors,Crew survivors
10,29,1981,20:30,"Zeya, Russia",Aeroflot,674,Chita - Zeya,Yakovlev YAK-40,0,"Flew into trees short and to the right of the runway, crashed and caught fire. Crew descended below minimums without visual contact with the ground.",August,Russia,RU,Zeya,53.73601,127.257,34,29,5,3,1,2,3,31,28,3
11,26,1975,11:30,"Zephyr Cove, Nevada",Air Taxi,674,"Las Vegas, NV - So. Lake Tahoe, CA",Piper PA-34,0,Collided with trees while descending to land. Pilot fatigue.,October,Nevada,US,Nevada,37.83921,-94.35467,2,1,1,2,1,1,2,0,0,0
13,02,1969,16:08,"Zawoja, Poland",LOT Polish Airlines,165,Warsaw - Cracow,Antonov AN-24V,0,The aircraft was on a flight from Warsaw to Cracow when it crashed into the Babia Gora mountains. The aircraft deviated from its normal route in heavy fog for unknown reasons.,April,Poland,PL,Zawoja,49.64396,19.54227,53,48,5,53,48,5,53,0,0,0
18,09,2007,23:15,"Zapotlanejo, Mexico",Ameristar Jet Charter,165,"Laredo, TX - Guadalajara, Mexico",Learjet 24F,0,"The cargo plane crashed and burst into flames in a rural hilly area about 15 miles from Miguel Hidalgo Airport, Guadalajara, Mexico.",January,Mexico,MX,Zapotlanejo,20.62248,-103.06766,2,0,2,2,0,2,2,0,0,0
22,24,1964,13:20,"Yurimaguas, Peru",SATCO,2903,Kabul - Zaranj,Douglas DC-3,0,Cashed on takeoff.,December,Peru,PE,Yurimaguas,-5.90181,-76.12234,23,22,1,1,0,1,1,22,22,0
24,15,1967,12:13,"Youngstown, Ohio",Vercoa Air Service - Air Taxi,2903,Kabul - Zaranj,Cessna 182,0,Suffered complete engine failure and tried to return to the airport but crashed. Fuel contaminated with water.,February,Ohio,US,Youngstown,41.09978,-80.64952,2,1,1,2,1,1,2,0,0,0
25,26,1986,17:45,"Yosemite Nation, California",Air Taxi,2903,"San Andreas, CA - Death Valley, CA",Piper PA-32-260,0,The aircraft struck a boulder as the aircraft climbed up a five degree upsloping ridge then nosed into the ground and burst into flames. Pilot disregarded performance data. Overconfidence in aircraft's ability.,July,California,US,California,38.3004,-76.50745,6,5,1,3,2,1,3,3,3,0
27,31,1997,c 23:00,"Yola, Nigeria",Skypower Express Airways,2903,Jos - Yola,Embraer 110P1A Bandeirante,0,After being in a holding pattern for over an hour the plane hit trees and a  power line and crashed 700m short of the runway.,January,Nigeria,NG,Yola,9.20839,12.48146,16,13,3,5,2,3,5,11,11,0
28,07,2007,07:14,"Yogyakarta, Indonesia",Garuda Indonesia Airlines,200,Jakarta - Yogyakarta,Boeing B-737-497,0,"While attempting to land, the plane overshot the runway, crashed through the airport barrier fence and burst into flames. The cockpit voice recorder revealed that the pilot and co-pilot were arguing over their speed and wing flap angles moments before the crash. An investigator stated the passenger jet was flying at up to 265 mph, almost double the normal landing speed, while attempting to land. The captain ignored the planeâ€™s automated warning system as it sounded alarms fifteen times. He also ignored calls from the co-pilot to go around and make another approach.",March,Indonesia,ID,Yogyakarta,-7.80139,110.36472,140,133,7,22,21,1,22,118,112,6
29,23,1993,15:40,"Yinchuan, China",China Northwest Airlines,2119,Yinchuan - Beijing,British Aerospace 146-300,0,The aircraft crashed into a lake after it was unable to get airborne while attempting to takeoff. Mechanical failure. Flaps selected but did not extend.,July,China,CN,Yinchuan,38.46806,106.27306,113,108,5,55,54,1,55,58,54,4
30,24,2010,22:10,"Yichun, China",Henan Airlines,2119,Harbin - Yichun,Embraer ERJ-190-100LR,0,"The plane overshot the runway while landing and burst into flames. The pilot violated aviation rules during the descent, did not locate the runway before landing and abandoned the crashed aircraft.",August,China,CN,Yichun,27.83333,114.4,96,91,5,44,41,3,44,52,50,2
31,21,1998,13:51,"Yerevan, Armenia",Ararat Avia,2119,Yerevan - Krasnodar,Yakovlev YAK-40,4,"While attempting to take off, the aircraft struck a military bus as it crossed the runway.",October,Armenia,AM,Yerevan,40.18111,44.51361,37,33,4,0,0,0,4,37,33,4
32,29,1955,13:51,"Yellowknife, Northwest Territory, Canada",Associated Airways,2119,Undisclosed air base - Yellowknife,Avro 685 York C-1,0,The cargo plane ditched into the Thoa river. The pilot radioed he was going down and was ditching into a lake. Fuel exhaustion.,September,Canada,CA,Yellowknife,62.45411,-114.37248,2,0,2,1,0,1,1,1,0,1
33,22,2011,13:15,"Yellowknife, Northwest Territories, Canada",Arctic Sunwest Charters,2119,Thor Lake - Great Slave Lake,De Havilland Canada DHC-6-300 Twin Otter,0,"While coming in for a landing at Great Slave Lake the float plane hit powerlines, two cars and part of a building.  The pilot attempted to abort the landing after an aircraft float dug into the water. A cross-wind flipped the plane on end and it clipped power lines in front of a building, spinning it 90 degrees. The plane then crashed, floats first, into a faÃ§ade. The fuselage then rotated on the ground and, the floats demolished two vehicles and came to rest in a parking lot facing back the way it had come.",September,Canada,CA,Yellowknife,62.45411,-114.37248,9,7,2,2,0,2,2,7,7,0
35,07,2011,15:50,"Yaroslavl, Russia",YAK Service,9633,Yaroslavl - Minsk,Yakovlev 42D,0,"The plane failed to climb after takeoff and crashed into an antenna outside the airport perimeter and came to rest in the Volga River, 1km from the runway. The plane carried the entire Lokomotiv Yaroslavl ice hockey team. Pilot error. Both pilots had experience on the Yak-40 but were assigned to switch between types , contrary to proper practice. They apparently had never learned the correct position for their feet on takeoff. In the Yak-42, and like virtually all other existing Russian and Western planes, a pilot steers the aircraft by pressing the lower part of pedals and activates the brakes by pressing their upper part.But instead of putting his heels on the cockpit floor as required,  One pilot left his feet resting on the pedals, as correct for the",September,Russia,RU,Yaroslavl,57.62987,39.87368,45,37,8,44,37,7,44,1,0,1
40,27,1998,11:45,"Yangon (Rangoon), Myanmar",Myanmar Airways,403,Thandwe - Sittwe,Fokker F-27 Friendship 600,0,The aircraft crashed on takeoff after the No. 2 engine failed and caused the aircraft to swerve off the runway and crash into an embankment and burst into flames.,January,Myanmar,MM,Yangon,16.80528,96.15611,45,41,4,16,15,1,16,29,26,3
