,Date,Year,Time,Crash_location,Organisation,Flight_num,Route,Ac_type,onboard_alive,Onboard_fatalities_num,Ground_fatalities_num,Summary,Crash_location_country,Crash_location_ISO,Crash_location_city,Crash_location_city_longitude,Crash_location_city_latitude
0,April 19,1993,15:52,"Zwingle, Iowa",Private,-,"Cincinnati, OH - Pierre, SD",Mitsubishi MU-2B-60,8 Â  (passengers:6Â  crew:2),8 Â  (passengers:6Â  crew:2),0,"While cruising at FL240, a fracture of the propeller hub resulted in the separation of a propeller blade and damage to the engine, nacelle, wing and fuselage causing significant degradation to aircraft performance. The aircraft was incapable of maintaining altitude and crashed into a silo while attempting to make an emergency landing. South Dakota Governor George Mickelson, 52, killed.",Iowa,US,,,
1,November 24,1951,?,"Zurich, Switzerland",El Al,?,Zurich - Rome,Douglas DC-4,7 Â  (passengers:0Â  crew:7),6 Â  (passengers:0Â  crew:6),0,The cargo plane crashed on approach.,Switzerland,CH,,,
2,January 18,1971,15:49,"Zurich, Switzerland",Balkan Bulgarian Airlines,LZ130,Paris - Zurich - Sofia,Ilyushin IL-18,47 Â  (passengers:39Â  crew:8),45 Â  (passengers:38Â  crew:7),0,"The crew decided while on the ground at Paris not to stop at Zurich but later, while in flight, changed their minds when they received reports of improving weather. The plane crashed during the approach to Zurich after drifting to the right and below the glide path. The left wing tip and landing gear struck the ground first.",Switzerland,CH,,,
3,February 21,1970,13:34,"Zurich, Switzerland",Swissair,330,Zurich - Tel Aviv,Convair CV-990-30A-6,47 Â  (passengers:38Â  crew:9),47 Â  (passengers:38Â  crew:9),0,"About 9 minutes after taking off, the crew reported trouble with the aircraft's cabin pressure and radioed they were returning to the airport. The crew reported they suspected an explosion in the aft cargo hold. While returning to the airport the crew lost navigational instruments and electrical power. The cockpit filled with smoke and the plane crashed into a forest. Detonation of an explosive device in the rear section of the passenger cabin shortly after takeoff. A bomb with an altimeter trigger was believed to have been placed in a package mailed to an Israeli address by Palestinian extremists.",Switzerland,CH,,,
4,February 10,1967,?,"Zurich, Switzerland",Swissair,?,Training,Convair CV-440,4 Â  (passengers:0Â  crew:4),4 Â  (passengers:0Â  crew:4),0,"A flight instructor and 3 trainees were practicing landing and takeoffs. The plane struck a mountain while in a climb out pattern. They took off on Runway 28 at Zurich airport and headed straight out instead of turning, until the struck the mountain. There was no flight recorder on board so the reason for the navigational error is unknown.",Switzerland,CH,,,
5,December 20,2001,"22""08","Zurich, Switzerland",Eagle Air,?,?,Cessna 560 Citation V,2 Â  (passengers:0Â  crew:2),2 Â  (passengers:0Â  crew:2),0,"After reaching a height of 500 ft. the aircraft began to loose altitude until the plane impacted the ground at the end of Runway 34. The crew lost spatial orientation after take-off, leading to an unintentional loss of altitude. The copilot's basic training in instrument flying did not include night instrument take-offs. The crew's method of working was adversely affected by great time pressure. Executing the take-off as a rolling take-off was not adapted to the prevailing meteorological conditions.",Switzerland,CH,,,
6,December 19,1953,18:55,"Zurich, Switzerland",Sabena,?,Brussels - Zurich,Convair CV-240,44 Â  (passengers:41Â  crew:3),1 Â  (passengers:1Â  crew:0),0,Descended below the glide path in poor weather and darkness and crashed 1.5 miles short of the runway. Poor approach procedures performed by the pilot.,Switzerland,CH,,,
7,January 15,1968,07:54,"Zifta, Egypt",United Arab Airlines,?,Cairo - Beirut,Douglas DC-3,4 Â  (passengers:0Â  crew:4),4 Â  (passengers:0Â  crew:4),0,"Ice accretion on the lifting surface of the aircraft accompanied by moderate to severe turbulence, which resulted in loss of aircraft control by the pilot. When he tried to regain control over the aircraft the lifting surfaces were loaded beyond approved design limits, which brought about the disintegration of main parts of the aircraft in the air, and its subsequent impact with the ground.",Egypt,EG,,,
8,January 29,2018,?,"Zhengchang, Suiyang County, Guizhou Province",People's Liberation Army Air Force,?,?,Shaanxi Y-8GX-3,12 Â  (passengers:7Â  crew:5),12 Â  (passengers:7Â  crew:5),0,Unknown,,,,,
9,January 04,2001,?,"Zheng Zou AB, China",Military - People's Liberation Army,?,Training,Shaanxi Yunshuji Y-8/Yunshuji Y-8,16 Â  (passengers:0Â  crew:16),16 Â  (passengers:0Â  crew:16),6,Two Antonov 12 planes collided in midair killing all aboard and 6 on the ground.,China,CN,,,
